Rank,Wine,Vintage,Score,Price,
92,Rafael Palacios Godello Valdeorras Louro-,2017,90,$24 ,
,"Peach, quince and lime flavors mingle with notes of lemon cream, heather and grapefruit in this expressive white. The texture is broad, but crisp acidity keeps this focused. Drink now. 1,098 cases imported. —TM",,,,
93,Georges Vigouroux Malbec Cahors Château de Mercuès-,2016,90,$25 ,
,"A minerally undertone gives depth to the raspberry reduction and red plum compote flavors of this concentrated, focused red, with infusions of floral, tea and herb on the plush finish. Drink now through 2024. 8,500 cases made, 1,500 cases imported. —GS",,,,
94,Favia Cabernet Sauvignon Coombsville-,2016,95,$175 ,
,"Ripe and vivid, with a stream of boysenberry, black currant and plum fruit racing along in lockstep, while anise, sage and singed tobacco notes fill in. The finish is underscored by graphite-edged grip, showing good latent energy. Powerful and pure. Best from 2021 through 2035. 342 cases made. —JM",,,,
95,Piper-Heidsieck Brut Champagne Cuvée-,NV,92,$47 ,
,"Lithe and vibrant, this graceful Champagne is driven by well-knit, racy acidity, carrying flavors of ripe black cherry, grated ginger, toast point and mineral on the satiny mousse. Drink now through 2022. 222,500 cases made, 29,000 cases imported. —AN",,,,
96,Benanti Etna-,2017,90,$28 ,
,"A medium-bodied red, with a crisp tannic frame, this offers bright raspberry and strawberry fruit, revealing an underlay of fresh earth, spice and dried herb notes. Bright and elegant. Drink now through 2024. 6,250 cases made, 4,000 cases imported. —AN",,,,
97,Château Pichon Longueville Lalande Pauillac-,2016,97,$197 ,
,"Saturated with dark currant, fig and blackberry compote flavors, this has a fleshy, nearly glycerin feel at first before stretching out to reveal singed cedar, tobacco leaf, dark earth and cassis bush flavors. A terrific tug of cast iron emerges at the very end. Deliciously juicy dark fruit keeps rolling throughout. Best from 2025 through 2040. 12,000 cases made. —JM",,,,
98,Wine & Soul Douro Manoella-,2016,90,$22 ,
,"Zesty currant and boysenberry notes are tangy and inviting in this spicy, medium-bodied red, with moderate tannins supporting the herb, tea and mineral details on the finish. Touriga Nacional, Touriga Franca, Tinta Roriz and Touriga Francesa. Drink now through 2023. 2,000 cases made, 250 cases imported. —GS",,,,
99,Domaines Dominique Piron Morgon Côte du Py-,2017,92,$28 ,
,"A vivid minerally undertone marks the pure raspberry and ripe cherry flavors, accented by licorice and floral details that give way to white pepper and wild herb elements on the long, lightly tannic finish. Drink now through 2024. 3,000 cases made, 200 cases imported. —GS",,,,
100,Domaine du Castel Grand Vin Haute-Judée-,2016,91,$85 ,
,"Ripe currant, blackberry and plum flavors are nicely displayed with mocha, baking spice and cedar details in this sinewy, focused red. Hints of olive and graphite mark the tannic finish. Drink now through 2025. 3,900 cases made, 1,280 cases imported. —GS",,,,
